epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.591,1.58052,3.34542,1.58313,0.03162,0.5877,0.37949,0.28895,1.26997,3.54958,1.34464,0.00026361,0.00026361,0.00026361
2,302.532,1.25387,1.88096,1.34457,0.97637,0.25487,0.65068,0.41897,1.28869,2.94577,1.32255,0.000492064,0.000492064,0.000492064
3,458.969,1.06731,1.32382,1.24532,0.8971,0.51812,0.69753,0.4563,1.41332,2.04566,1.33923,0.000675523,0.000675523,0.000675523
4,634.477,0.99865,1.19826,1.18671,0.91193,0.63101,0.73182,0.47881,1.3682,1.71041,1.30774,0.000684022,0.000684022,0.000684022
5,788.761,0.9289,1.09307,1.14195,0.76445,0.76937,0.77404,0.54009,1.20448,1.39901,1.23675,0.00060903,0.00060903,0.00060903
6,932.305,0.87788,1.02004,1.10796,0.85934,0.78549,0.83217,0.5895,1.06576,1.22253,1.14153,0.000534037,0.000534037,0.000534037
7,1076.77,0.82966,0.95705,1.08737,0.82354,0.78342,0.81759,0.55844,1.19299,1.20074,1.17203,0.000459045,0.000459045,0.000459045
8,1225.47,0.7826,0.89843,1.04929,0.80718,0.78046,0.82433,0.63768,0.91243,1.04966,1.06232,0.000384052,0.000384052,0.000384052
9,1372.05,0.77135,0.8577,1.03481,0.81027,0.81604,0.84552,0.64376,0.95058,1.01057,1.07238,0.00030906,0.00030906,0.00030906
10,1542.95,0.75074,0.83377,1.02698,0.86009,0.80661,0.83679,0.66272,0.87231,1.00827,1.03338,0.000234068,0.000234068,0.000234068
11,1714.09,0.71004,0.7942,1.00322,0.90606,0.80896,0.85898,0.66684,0.91199,0.99664,1.04367,0.000159075,0.000159075,0.000159075
12,1873.55,0.70039,0.7853,1.00101,0.91839,0.80343,0.8649,0.67266,0.84889,0.97164,1.0158,8.40825e-05,8.40825e-05,8.40825e-05
